id;name;organization;start_date;finish_date
1;contextually-based Home Loan Account Books;Stand-alone;2020-10-04;2020-10-04
2;Refined Frozen Table Infrastructure;Assimilated Center;2020-10-03;2020-10-04
3;Kansas utilize;Checking Account Engineer;2020-10-04;2020-10-04
4;system e-services Soft;Senior Junctions Assistant;2020-10-04;2020-10-04
5;Investment Account;world-class digital;2020-10-04;2020-10-04
6;Berkshire Alley revolutionary;robust solution;2020-10-04;2020-10-04
7;Beauty index Enhanced;Prairie;2020-10-04;2020-10-04
8;copying Fresh Corners;Buckinghamshire Azerbaijanian Manat;2020-10-04;2020-10-04
9;open-source;Kwacha multi-byte;2020-10-04;2020-10-04
10;Intelligent Radial Specialist;Fiji Dollar;2020-10-04;2020-10-04
